make,model,vehicle-class,engine-size-L,num-of-cylinders,transmission,fuel_type,city-mpg,hwy-mpg,co2_emissions-g/km,co2-rating,smog-rating
Acura,ILX,Compact,2.4,4,AM8,premium,23.8,33.6,199.0,6,3
Acura,MDX SH-AWD,SUV: Small,3.5,6,AS9,premium,19.1,25.6,254.0,4,3
Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6,AS9,premium,19.3,24.8,258.0,4,3
Acura,MDX Hybrid AWD,SUV: Small,3.0,6,AM7,premium,25.8,26.1,210.0,5,3
Acura,RDX AWD,SUV: Small,2.0,4,AS10,premium,21.4,27.4,232.0,5,6
Acura,RDX AWD A-SPEC,SUV: Small,2.0,4,AS10,premium,20.8,25.8,241.0,5,6
Acura,RLX Hybrid,Mid-size,3.5,6,AM7,premium,28.0,28.7,196.0,6,7
Acura,TLX A-SPEC,Compact,2.4,4,AM8,premium,23.1,31.8,209.0,5,3
Acura,TLX SH-AWD,Compact,3.5,6,AS9,premium,20.6,30.5,228.0,5,3
Acura,TLX SH-AWD A-SPEC/Limited Edition,Compact,3.5,6,AS9,premium,19.6,28.7,240.0,5,3
Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,premium,24.2,34.1,197.0,6,1
Alfa Romeo,Giulia,Mid-size,2.0,4,A8,premium,23.5,32.7,205.0,6,3
Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,premium,22.4,30.5,217.0,5,3
Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,premium,17.4,25.3,271.0,4,3
Alfa Romeo,Stelvio,SUV: Small,2.0,4,A8,premium,22.8,29.0,218.0,5,3
Alfa Romeo,Stelvio AWD,SUV: Small,2.0,4,A8,premium,21.8,28.3,226.0,5,3
Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,premium,16.9,22.8,288.0,3,3
Aston Martin,DB11 V8,Minicompact,4.0,8,A8,premium,18.1,24.0,271.0,4,3
